INDEX,QCODE,SOURCE,LAYER1,LAYER2,LAYER3,TYPE,CODE1,CODE2,TITLE,QUESTION,INPUT,RESULT,ANSWER,풀이회수,정답회수,오답회수,오답율,EXPLAIN,ANALSYS,1ST,2ND,3rd,4th,5th,6th,7th,8th,9th,10th
347,ABANK-0347,인스교재,08배상책임보험,개요,특성,진위형,AC01,AC01,손해사고기준보험,"사고가 발생한 이후 배상청구가 몇년 뒤에 제기되고 이에 대한 소송 과정도 길어지는 경우, 실제 배상 책임액이 확정되는 시점에는 수년 전에 체결된 보험의 보상한도액으로는 부족한 경우가 있다.",O,O,O,10.0,10.0,0,,,,,,,,,,,,,
348,ABANK-0348,인스교재,08배상책임보험,개요,특성,진위형,AC01,AC01,손해사고기준보험,보험요율을 산정할 때에는 보통 보험계약자의 과거 손해율을 기초로 할인 또는 할증을 적용하는 것 이 일반적이다. 손해사고기준 보험은 IBNR을 정확히 측정할 수 없으므로 보수적인 방법으로 최대금 액을 감안하여 반영하며 이에 따라 보험요율이 높아진다.,O,O,O,10.0,10.0,0,,,,,,,,,,,,,
349,ABANK-0349,인스교재,08배상책임보험,개요,특성,진위형,AC01,AC01,손해사고기준보험,보험자의 입장에서도 적절한 준비금을 적립해야 하는데 정확한 IBNR 산정이 어렵기 때문에 지나치 게 과도하거나 지나치게 과소 적립할 위험이 내재되어 있다.,O,O,O,10.0,10.0,0,,,,,,,,,,,,,
350,ABANK-0350,인스교재,08배상책임보험,개요,담보조건,선택형,AC01,AC01,법률상 손해배상금,"배상책임보험의 손해를 법률상 손해배상금, 손해경감비용, 방어비용, 권리보전비용, 기타비용으로 나눌 때 다음 중 방어비용에 속하는 것은?
① 변호사비용,
② 응급처치비용,
③ 제3자로부터 손해배상을 받을 수 있는 권리의 보전 및 행사를 위하여 필요 또는 유익한 비용,
④ 법원의 판결금액이다",1,O,1,10.0,10.0,0,,1)만해당,,,,,,,,,,,
351,ABANK-0351,인스교재,08배상책임보험,개요,담보조건,진위형,AC01,AC01,손해경감비용,"배상책임보험의 손해중 손해경감비용은
① 응급처치비용,
② 간호호송비용
③ 구조를 위한 잔존물 제거비용
④ 기타 유익한 비용이 있다",O,O,O,10.0,10.0,0,,,,,,,,,,,,,
352,ABANK-0352,인스교재,08배상책임보험,개요,담보조건,진위형,AC01,AC01,방어비용,"배상책임보험의 손해중 법률상 손해배상금에는
① 인지대, 송달료 등 소송비용
② 변호사비용
③ 중재 및 화해에 관한 비용이 있다",,X,X,10.0,10.0,0,,방어비용,,,,,,,,,,,
353,ABANK-0353,인스교재,08배상책임보험,개요,담보조건,선택형,AC01,AC01,방어비용,"배상책임보험의 손해중 방어비용이 아닌것은?
① 인지대, 송달료 등 소송비용
② 변호사비용
③ 중재 및 화해에 관한 비용
④ 법원의 판결비용 등이 있다",4,O,4,10.0,10.0,0,,4)제외,,,,,,,,,,,
354,ABANK-0354,인스교재,08배상책임보험,개요,담보조건,선택형,AC01,AC01,방어비용,"배상책임보험에서의 손해를 법률상 손해배상금, 손해경감비용, 방어비용 등으로 나눌 때 방어비용에 해당하는 것은?
① 보험회사의 동의 하에 피해자에게 지급한 민사합의금
② 법원의 판결금액
③ 응급처치비용
④ 인지대, 송달료 등 소송비용",4,O,4,10.0,10.0,0,,4)만해당,,,,,,,,,,,
355,ABANK-0355,인스교재,08배상책임보험,개요,담보조건,진위형,AC01,AC01,권리보전비용,배상책임보험의 손해중 권리보전비용은 제3자로부터 손해배상을 받을 수 있는 권리의 보전 및 행사를 위하여 필요 또는 유익한 비용이다,O,O,O,10.0,10.0,0,,,,,,,,,,,,,
356,ABANK-0356,인스교재,08배상책임보험,개요,담보조건,진위형,AC01,AC01,기타비용,"배상책임보험의 손해중 기타비용은 소송발생시 공탁보증보험료, 기타 피보험자 협력비용이다",O,O,O,10.0,10.0,0,,,,,,,,,,,,,
357,ABANK-0357,인스교재,08배상책임보험,개요,담보조건,진위형,AC01,AC01,배상책임보험손해,"배상책임보험의 손해를 법률상 손해배상금, 손해경감비용, 방어비용, 권리보전비용, 기타비용으로 나눌수 있다",O,O,O,10.0,10.0,0,,,,,,,,,,,,,
358,ABANK-0358,인스교재,08배상책임보험,개요,담보조건,진위형,AC01,AC01,확정보험료,확정보험료 방식은 보험계약 당시에 결정한 보험료를 조정없이 보험기간이 끝날 때까지 적용하는 방식,O,O,O,10.0,10.0,0,,,,,,,,,,,,,
359,ABANK-0359,인스교재,08배상책임보험,개요,담보조건,진위형,AC01,AC01,확정보험료,정산보험료 방식은 보험계약 당시에 결정한 보험료를 조정없이 보험기간이 끝날 때까지 적용하는 방식,,X,X,10.0,10.0,0,,확정보험료,,,,,,,,,,,
360,ABANK-0360,인스교재,08배상책임보험,개요,담보조건,진위형,AC01,AC01,정산보험료,정산보험료 방식은 보험계약 당시에 예상 요율에 근거하여 잠정보험료 또는 예치보험료를 납입하며 보험기간 이 종료된 이후에 확정보험료를 산출하여 차액을 정산하는 방식으로 요율산정에 필요한 지수의 변동이 심할 경우 주로 사용한다,O,O,O,10.0,10.0,0,,,,,,,,,,,,,
361,ABANK-0361,인스교재,08배상책임보험,개요,특성,진위형,AC01,AC01,손해사고기준보험,"손해사고 기준보험(Occurence basis policy)의 문제점은
① 사고일자의 불분명.
② 보상한도액의 현실성 부족
③ 과도하게 낮은 보험요율 산정
④ 부적절한 준비금 계상이다",,X,X,10.0,9.0,1,,3)높은요율,"착각, 집중력",,,,,,,,,,
362,ABANK-0362,인스교재,08배상책임보험,개요,담보조건,진위형,AC01,AC01,권리보전비용,배상책임보험의 손해중 방어비용은 제3자로부터 손해배상을 받을 수 있는 권리의 보전 및 행사를 위하여 필요 또는 유익한 비용이다,,X,X,10.0,9.0,1,,권리보전비용,,,,,,,,,,,
363,ABANK-0363,인스교재,08배상책임보험,개요,담보조건,진위형,AC01,AC01,방어비용,"배상책임보험의 손해중 방어비용은
① 인지대, 송달료 등 소송비용
② 변호사비용
③ 중재 및 화해에 관한 비용이 있다",O,O,O,10.0,9.0,1,,중화소변 방어조림,,,,,,,,,,,
364,ABANK-0364,인스교재,08배상책임보험,개요,담보조건,진위형,AC01,AC01,방어비용,"배상책임보험의 손해중 방어비용에 해당하는 것
① 보험회사의동의하에 피해자에게 지급한 민사합의금
② 치료비, 휴업손실 후유장해, 위자료등 합의금
③ 법원의 판결금액
④ 배물사고의 경우 손괴된 재물의 가치와 사용손실액",,X,X,10.0,9.0,1,,3)법률상손해배상금,,,,,,,,,,,
365,ABANK-0365,인스교재,08배상책임보험,개요,담보조건,선택형,AC01,AC01,보상하는 손해,"다음 중 배상책임보험에서 보상하는 손해는?
① 피보험자가 소유, 사용 또는 관리하는 재물이 손해를 입었을 경우 그 재물에 대하여 정당한 권리를 가진 사람에게 부담하는 손해에 대한 배상책임
② 피보험자와 타인 간에 손해배상에 관한 약정이 있는 경우 그 약정에 의하여 가중된 배상책임
③ 공탁보증보험료
④ 징벌적 손해에 대한 배상책임",3,O,3,10.0,9.0,1,,3)만 해당됨,,,,,,,,,,,
366,ABANK-0366,인스교재,08배상책임보험,개요,담보조건,진위형,AC01,AC01,확정보험료,확정보험료 방식은 주로 시설소유관리자 위험 담보계약에 사용하고 정산보험료 방식은 생산물배상책임보험에 주로 사용한다,O,O,O,10.0,9.0,1,,생산물은유동적,집중력,,,,,,,,,,
367,ABANK-0367,인스교재,08배상책임보험,개요,담보조건,진위형,AC01,AC01,정산보험료,확정보험료 방식은 보험계약 당시에 예상 요율에 근거하여 잠정보험료 또는 예치보험료를 납입하며 보험기간 이 종료된 이후에 확정보험료를 산출하여 차액을 정산하는 방식으로 요율산정에 필요한 지수의 변동이 심할 경우 주로 사용한다,,X,X,10.0,9.0,1,,정산보험료,,,,,,,,,,,
368,ABANK-0368,인스교재,08배상책임보험,개요,담보조건,진위형,AC01,AC01,정산보험료,정산보험료 방식은 주로 시설소유관리자 위험 담보계약에 사용하고 확정보험료 방식은 생산물배상책임보험에 주로 사용한다,,X,X,10.0,9.0,1,,바뀜,,,,,,,,,,,
369,ABANK-0369,인스교재,08배상책임보험,개요,특성,진위형,AC01,AC01,배상청구기준보험,배상청구기준 보험은 IBNR을 정확히 측정할 수 없으므로 보수적인 방법으로 최대금액을 감안하여 반영하며 이에 따라 보험요율이 높아진다.,X,O,X,10.0,7.0,3,,손해사고기준,,,,,,,,,,,
370,ABANK-0370,인스교재,08배상책임보험,개요,담보조건,진위형,AC01,AC01,법률상 손해배상금,"배상책임보험의 손해중 법률상 손해배상금에 해당하는 것은
① 보험회사의동의하에 피해자에게 지급한 민사합의금
② 치료비, 휴업손실 후유장해, 위자료등 합의금
③ 법원의 판결금액
④ 배물사고의 경우 손괴된 재물의 가치와 사용손실액",O,O,O,10.0,7.0,3,,3합판사용손실,망각 공식필요,,,,,,,,,,
371,ABANK-0371,인스교재,08배상책임보험,개요,담보조건,진위형,AC01,AC01,배상책임보험손해,"배상책임보험의 손해를 법률상 손해배상금, 손해방지비용, 방어비용, 권리보전비용, 기타비용으로 나눌수 있다",X,O,X,10.0,7.0,3,,손해방지비용X 손해경감비용O,"망각,헤깔림,부실",,,,,,,,,,
372,ABANK-0372,인스교재,08배상책임보험,시설소유관리자,담보위험,진위형,AC02,AC02,3C,"배상책임보험에서 말하는 3C는
① Confirm,
② Care,
③ Custody 다",,X,X,10.0,10.0,0,,,,,,,,,,,,,
373,ABANK-0373,인스교재,08배상책임보험,시설소유관리자,책임법리,진위형,AC02,AC02,일반볍률행위책임성립요건,"민법 제750조 일반불법행위 책임의 성립요건은
① 가해자의 고의 또는 과실
② 가해자의 책임능력
③ 불법행위와 손해사이의 인과관계
④ 위법성 이다",O,O,O,10.0,10.0,0,,가고가책불위법,,,,,,,,,,,
374,ABANK-0374,인스교재,08배상책임보험,시설소유관리자,책임법리,진위형,AC02,AC02,일반볍률행위책임성립요건,중과실에 대해서만 실화 손해배상책임을 부담하도록 하는 것은 헌법 불합치 결정이 내려졌다.,O,O,O,10.0,10.0,0,,,,,,,,,,,,,
375,ABANK-0375,인스교재,08배상책임보험,시설소유관리자,담보약관,진위형,AC02,AC02,구내치료비 추가특별약관`,구내치료비 추가특별약관은 피보험자의 법률상 배상책임 여부를 묻지 않고 관련 보험금을 지급한다. .,O,O,O,10.0,10.0,0,,,,,,,,,,,,,
376,ABANK-0376,인스교재,08배상책임보험,시설소유관리자,담보약관,진위형,AC02,AC02,비행 추특약,비행(malpractice) 추가특별약관을 첨부하면 미용사 및 이용사의 전문직업 위험을 담보 한다,O,O,O,10.0,10.0,0,,,,,,,,,,,,,
377,ABANK-0377,인스교재,08배상책임보험,시설소유관리자,담보약관,진위형,AC02,AC02,물적손해확장 추특약,"물적 손해 확장 추가특별약관은 금, 은, 시계, 도자기 등의 귀중품을 담보하기 위한 추가득 별약관이다",,X,X,10.0,10.0,0,,담보하지 않음,,,,,,,,,,,
378,ABANK-0378,인스교재,08배상책임보험,시설소유관리자,담보약관,진위형,AC02,AC02,물적손해확장 추특약,"물적 손해 확장 추가특별약관은 피보험자가 보호, 관리, 통제하는 재물에 대한 손해배상 책임을 담보한다. 물적손배확장 추가특별약관은 금, 은, 시계, 도자기등의 귀충품을 담보하지 않지만 귀중품 추가특별약관을 첨부하면 이러한 물품까지 담보가 가능하다",O,O,O,10.0,10.0,0,,,,,,,,,,,,,
379,ABANK-0379,인스교재,08배상책임보험,시설소유관리자,담보약관,진위형,AC02,AC02,부동산 임대업자 추특약,"임대건물이 화재, 폭발, 붕괴되어 임차인의 재물에 손해를 입힘으로써 임대인이 부담하는 법률상 배상책임을 담보하기 위한 것으로는 부동산 임대업자 추가특별약관이 있다.",O,O,O,10.0,10.0,0,,,,,,,,,,,,,
380,ABANK-0380,인스교재,08배상책임보험,시설소유관리자,담보약관,선택형,AC02,AC02,담보약관,"시설소유관리자배상책임의 추가 특별약관에 대한 다음 설명중 틀린것은?
① 구내치료비 추가 특별약관은 구내에서 발생한 고객의 신체 사고에 대하여 피보험자의 법률 상 배상책임 여부를 불문하고 일정 금액의 치료비를 보상해주는 담보이다.
② 비행 추가특별약관을 추가하면 미용사 및 이용사의 전문직업 위험을 담보한다.
③ 물적 손해 확장 추가 특별약관은 금, 은, 시계, 도자기 등의 귀중품을 담보하는 추가 특별약 관이다.
④ 부동산 임대업자 추가 특별약관은 임대건물이 화재, 폭발, 붕괴되어 임차인의 재물에 손해 를 입힘으로써 임대인이 부담하는 법률상 배상책임 손해를 담보한다.",3,O,3,10.0,10.0,0,,3)틀림,,,,,,,,,,,
381,ABANK-0381,인스교재,08배상책임보험,시설소유관리자,영문약관,진위형,AC02,AC02,CGL A,CGL Coverage A는 타인에게 인격침해나 광고침해를 입혀서 피보험자가 부담하는 법률상 배상책임을 담보 한다.,,X,X,10.0,10.0,0,,신체장해나재물손해,,,,,,,,,,,
382,ABANK-0382,인스교재,08배상책임보험,시설소유관리자,영문약관,진위형,AC02,AC02,CGL A,CGL Coverage A는 타인에게 신체장해나 재물손해를를 입혀서 피보험자가 부담하는 법률상 배상책임을 담보 한다.,O,O,O,10.0,10.0,0,,,,,,,,,,,,,
383,ABANK-0383,인스교재,08배상책임보험,시설소유관리자,영문약관,진위형,AC02,AC02,CGL C,CGL Coverage C 는 타인에게 신체장해나 재물손해를를 입혀서 피보험자가 부담하는 법률상 배상책임을 담보 한다.,,X,X,10.0,10.0,0,,CGL A,,,,,,,,,,,
384,ABANK-0384,인스교재,08배상책임보험,시설소유관리자,영문약관,진위형,AC02,AC02,CGL B,"인격침해는 신체의 부상, 질병 또는 그로 인한 사망을 말한다.",,X,X,10.0,10.0,0,,신체장해 ,,,,,,,,,,,
385,ABANK-0385,인스교재,08배상책임보험,시설소유관리자,영문약관,진위형,AC02,AC02,CGL B,"신체장해는 신체의 부상, 질병 또는 그로 인한 사망을 말한다",O,O,O,10.0,10.0,0,,,,,,,,,,,,,
386,ABANK-0386,인스교재,08배상책임보험,시설소유관리자,영문약관,진위형,AC02,AC02,CGL B,coverage B는 타인에게 인격침해나 광고침해를 입혀서 피보험자가 부담하는 법률상 배상 책임을 담보한다.,O,O,O,10.0,10.0,0,,,,,,,,,,,,,
387,ABANK-0387,인스교재,08배상책임보험,시설소유관리자,영문약관,선택형,AC02,AC02,CGL약관,"CGL의 약관 구성에 대한 내용중 틀린 것은?
① a Coverage A는 Bodily Injury and Property Damage Liability를 담보한다.
② a Coverage B는 Personal Injury and Advertising Injury Liability를 담보한다.
③ Coverage C는 Medical Payment를 담보한다.
④ CGL은 총 3개의 Section으로 구성된다.",4,O,4,10.0,10.0,0,,4번 틀림,,,,,,,,,,,
388,ABANK-0388,인스교재,08배상책임보험,시설소유관리자,언더라이팅,진위형,AC02,AC02,언더라이팅주의사항,동일한 유형의 사고가 빈발하는 경우에는 해당위험에 대한 담보를 제한하는 등의 방법을 강구하여야 한다.,O,O,O,10.0,10.0,0,,,,,,,,,,,,,
389,ABANK-0389,인스교재,08배상책임보험,시설소유관리자,언더라이팅,진위형,AC02,AC02,언더라이팅주의사항,"동일한 유형의 사고가 빈발하는 경우에는 해당위험에 대한 담보를 제한하는 방법은
① 담보제외,
② 공제금액 상향조정
③ 피보험자로 하여금 안전관리 시설이나 대책을 마련토록 하는 것 등이 있다.",O,O,O,10.0,10.0,0,,,,,,,,,,,,,
390,ABANK-0390,인스교재,08배상책임보험,시설소유관리자,책임법리,선택형,AC02,AC02,일반볍률행위책임성립요건,"민법 제750조 일반불법행위 책임의 성립요건이 아닌 것은?
① 피해자 과실
② 가해자의 책임능력
③ 불법행위와 손해사이의 인과관계
④ 위법성 이다",1,O,1,10.0,9.0,1,,1)가해자과실,,,,,,,,,,,
391,ABANK-0391,인스교재,08배상책임보험,시설소유관리자,책임법리,선택형,AC02,AC02,일반볍률행위책임성립요건,"민법 제750조 일반불법행위 책임의 성립요건이 아닌 것은?
① 가해자의 무과실
② 가해자의 책임능력
③ 불법행위와 손해사이의 인과관계
④ 위법성 이다",1,O,1,10.0,9.0,1,,1)가해자과실,,,,,,,,,,,
392,ABANK-0392,인스교재,08배상책임보험,시설소유관리자,영문약관,선택형,AC02,AC02,보상하는 손해,"다음 중 시설소유관리자 특별약관에서 보상하는 손해는?
① 피보험자가 소유, 사용, 관리하거나 보호, 통제하는 재물에 대한 손해
② 통상적인 유지, 보수 작업으로 시설의 수리, 개조, 신축 또는 철거 작업으로 발생한 손해배상책임
③ 피보험자가 양도한 시설로 생긴 손해에 대한 배상책임과 시설 자체의 손해에 대한 배상책임 피보험자 시설 내에서 사용, 소비되는 손해배상책임
④ 피보험자의 점유를 벗어난 음식물 또는 재물로 생긴 배상책임과 그러한 음식물 또는 재물 자체의 손해에 대한 배상책임",2,O,2,10.0,9.0,1,,2만 해당,,,,,,,,,,,
393,ABANK-0393,인스교재,08배상책임보험,시설소유관리자,영문약관,진위형,AC02,AC02,CGL C,coverage C는 피보험자의 피용인에게 발생한 신체장해에 대하여 피보험자가 부담하는 법률상 배상책임을 담보한다.,,X,X,10.0,9.0,1,,구내발생치료비,,,,,,,,,,,
394,ABANK-0394,인스교재,08배상책임보험,시설소유관리자,영문약관,진위형,AC02,AC02,CGL C,coverage C는 피보험자의 내에서 발생한 고객의 신체 사고에 대하여 피보험자의 법률상 배상책임 여부를 불문하고 일정한 치료비를 보상해주는 담보이다. 국문약관의 구내치료비 추가특별약관과 동일하다.,O,O,O,10.0,9.0,1,,법인대상과 헤깔림,부실공부,,,,,,,,,,
395,ABANK-0395,인스교재,08배상책임보험,시설소유관리자,담보위험,진위형,AC02,AC02,3C,"① C란 Care(보호), Custody (관리), Contro(통제)를 뜻하는 것을 시설소유관리자 배상책임보험에서 담보되지 않 는 전형적인 유형의 위험을 말한다. 이러한 위험은 보관자위험으로 분류된다.",O,O,O,10.0,9.0,1,,,,,,,,,,,,,
396,ABANK-0396,인스교재,08배상책임보험,시설소유관리자,담보약관,진위형,AC02,AC02,물적손해확장 추특약,"물적 손해 확장 추가특별약관은 피보험자가 보호, 관리, 통제하는 재물에 대한 손해배상 책임을 담보한다. 물적손배확장 추가특별약관은 금, 은, 시계, 도자기등의 귀충품을 담보한다",,X,X,10.0,9.0,1,,미담보,,,,,,,,,,,
397,ABANK-0397,인스교재,08배상책임보험,시설소유관리자,책임법리,선택형,AC02,AC02,일반볍률행위책임성립요건,"민법 제750조 일반불법행위 책임의 성립요건이 아닌 것은?
① 가해자의 고의 또는 과실
② 피해자의 책임능력
③ 불법행위와 손해사이의 인과관계
④ 위법성 이다",2,O,2,10.0,8.0,2,,2)가해자책임능력(가고가책불위법),,,,,,,,,,,
398,ABANK-0398,인스교재,08배상책임보험,보관자배상책임,담보위험,진위형,AC03,AC03,담보대상,"보관자배상책임보험은 피보험자가 보호, 관리, 통제하는 특정 재산에 입힌 손해를 담보대상 으로 한다",O,O,O,10.0,10.0,0,,,,,,,,,,,,,
399,ABANK-0399,인스교재,08배상책임보험,보관자배상책임,담보위험,진위형,AC03,AC03,담보대상,"제3자배상책임보험은 피보험자가 보호, 관리, 통제하는 특정 재산에 입힌 손해를 담보대상 으로 한다",,X,X,10.0,10.0,0,,면책,,,,,,,,,,,
400,ABANK-0400,인스교재,08배상책임보험,보관자배상책임,담보위험,진위형,AC03,AC03,담보대상,"제3자배상책임보험은 피보험자가 보호, 관리, 통제하는 특정 재산에 입힌 손해를 면책사항으로 규정한다",O,O,O,10.0,10.0,0,,,,,,,,,,,,,
401,ABANK-0401,인스교재,08배상책임보험,보관자배상책임,담보위험,진위형,AC03,AC03,보상한도액,보관자배상책임보험은 보험가액에 기초하여 보험가입금액 및 보상한도액을 설정할 수 있다.,O,O,O,10.0,10.0,0,,,,,,,,,,,,,
402,ABANK-0402,인스교재,08배상책임보험,보관자배상책임,담보위험,진위형,AC03,AC03,보상한도액,"제3자배상책임보험은 보험가액을 측정할 수 없으나, 보관자배상책임보험은 보험가액에 기초하여 보험가입금액 및 보상한도액을 설정할 수 있다.",O,O,O,10.0,10.0,0,,,,,,,,,,,,,
403,ABANK-0403,인스교재,08배상책임보험,보관자배상책임,담보위험,진위형,AC03,AC03,보상한도액,"보관자배상책임보험은 보험가액을 측정할 수 없으나,제3자배상책임보험은 보험가액에 기초하여 보험가입금액 및 보상한도액을 설정할 수 있다.",,X,X,10.0,10.0,0,,주어바뀜,,,,,,,,,,,
404,ABANK-0404,인스교재,08배상책임보험,보관자배상책임,담보위험,진위형,AC03,AC03,보상한도액,보관자배상책임보험은 보험가입금액에 기초하여 보험가액 및 보상한도액을 설정할 수 있다.,,X,X,10.0,10.0,0,,가액기초 금액설정,,,,,,,,,,,
405,ABANK-0405,인스교재,08배상책임보험,보관자배상책임,담보위험,진위형,AC03,AC03,보상범위,보관자배상책임보험은 재물 자체에 대한 손해만 보상하며 사용손실은 보상하지 않는다.,O,O,O,10.0,10.0,0,,,,,,,,,,,,,
406,ABANK-0406,인스교재,08배상책임보험,보관자배상책임,담보위험,진위형,AC03,AC03,보상범위,"제3자배상책임보험은 불특정 타인의 모든 재산 및 사용손실을 보상하는 것에 반하여, 보관자배상책임보 험은 특정인의 특정 재물을 보관하는 것이기 때문에 재물 자체에 대한 손해만 보상하며 사용손실은 보상 하지 않는다",O,O,O,10.0,10.0,0,,,,,,,,,,,,,
407,ABANK-0407,인스교재,08배상책임보험,보관자배상책임,담보위험,진위형,AC03,AC03,책임법리,제3자배상책임보험은 불법행위 책임에 기초하고 있다.,O,O,O,10.0,10.0,0,,,,,,,,,,,,,
408,ABANK-0408,인스교재,08배상책임보험,보관자배상책임,담보위험,진위형,AC03,AC03,책임법리,보관자배상책임보험은 채무불이행에 기초하고 있고 제3자배상책임보험은 불법행위 책임에 기초하고 있다.,O,O,O,10.0,10.0,0,,,,,,,,,,,,,
409,ABANK-0409,인스교재,08배상책임보험,보관자배상책임,담보위험,선택형,AC03,AC03,책임법리,"제3자배상책임보험과 보관자배상책임보험의 차이점이 아닌 것은?
① 제3자배상책임보험은 보험가액을 측정할 수 없으나, 보관자배상책임보험은 보험가액에 기초하여 보험가입금액과 보상한도액을 설정할 수 있다.
② 각각의 보험은 다른 보험의 담보대상을 면책사항으로 하고 있어, 보험상품 간의 영역을 조정 하고 있다.
③ 제3자배상책임보험은 불특정 타인의 모든 재산 및 사용손실을 보상하는 것에 반하여 보관자 배상책임보험은 해당 재물 자체에 대한 손해만 보상하며 사용손실은 담보하지 않는다.
④ 제3자배상책임보험은 채무불이행 책임에 기초하며, 보관자배상책임보험은 불법행위 책임 에 근거한다.",4,O,4,10.0,10.0,0,,4)3자불법,,,,,,,,,,,
410,ABANK-0410,인스교재,08배상책임보험,보관자배상책임,책임법리,진위형,AC03,AC03,채무불이행책임,"채무불이행 책임에는 이행지체, 이행불능, 불완전이행이 있다.",O,O,O,10.0,10.0,0,,,,,,,,,,,,,
